latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.940758,-60.193481000000006,355.42,0.39,0.6,1700,N,VIIRS,n,1,297.44,13.61,D,3.0
-32.941016999999995,-60.197838,354.68,0.39,0.6,1700,N,VIIRS,n,1,329.14,13.61,D,3.0
-32.93515,-60.193958,325.2,0.39,0.6,1700,N,VIIRS,n,1,294.95,13.61,D,3.0
-32.930316999999995,-60.207523,354.71,0.39,0.6,1700,N,VIIRS,n,1,327.95,24.12,D,0.0
-32.930576,-60.211887,342.62,0.39,0.6,1700,N,VIIRS,n,1,301.86,16.98,D,0.0
-32.923161,-60.18187,340.93,0.39,0.59,1700,N,VIIRS,n,1,293.25,5.63,D,0.0
-32.923416,-60.186214,343.39,0.39,0.59,1700,N,VIIRS,n,1,293.8,8.38,D,0.0
-32.923676,-60.190571,355.67,0.39,0.6,1700,N,VIIRS,n,1,296.66,8.38,D,0.0
-32.92445,-60.203636,354.96,0.39,0.6,1700,N,VIIRS,n,1,309.9,24.12,D,0.0
-32.924706,-60.208,325.07,0.39,0.6,1700,N,VIIRS,n,1,294.16,24.12,D,0.0
-32.943317,-60.201,347.5,0.39,0.6,1700,N,VIIRS,n,1,310.11,10.73,D,0.0
-32.937996000000005,-60.205814,353.55,0.39,0.6,1700,N,VIIRS,n,1,318.66,33.71,D,0.0
-32.925068,-60.180653,333.12,0.39,0.59,1700,N,VIIRS,n,1,293.71,4.53,D,0.0
-32.925354,-60.184998,344.5,0.39,0.59,1700,N,VIIRS,n,1,294.95,8.03,D,0.0
-32.925636,-60.189342,348.83,0.39,0.59,1700,N,VIIRS,n,1,296.07,8.03,D,0.0
-32.926491,-60.202389,353.13,0.39,0.6,1700,N,VIIRS,n,1,321.37,16.4,D,0.0
-32.927059,-60.211102,344.84,0.39,0.6,1700,N,VIIRS,n,1,297.74,9.47,D,0.0
-32.920315,-60.194149,337.16,0.39,0.59,1700,N,VIIRS,n,1,292.83,15.26,D,0.0
-32.920879,-60.20285,356.89,0.39,0.6,1700,N,VIIRS,n,1,306.2,16.4,D,0.0
-32.933491,-60.165089,346.97,0.52,0.67,1842,N,VIIRS,n,1,295.59,136.23,D,0.0
-32.942809999999994,-60.198345,340.94,0.52,0.67,1842,N,VIIRS,n,1,303.98,8.15,D,0.0
-32.93523,-60.19508,347.29,0.52,0.67,1842,N,VIIRS,n,1,300.41,8.43,D,0.0
-32.936783,-60.200611,356.86,0.52,0.67,1842,N,VIIRS,n,1,306.2,17.16,D,0.0
-32.921413,-60.169628,334.82,0.52,0.67,1842,N,VIIRS,n,1,291.85,4.64,D,0.0
-32.92765,-60.191814,325.83,0.52,0.67,1842,N,VIIRS,n,1,290.56,8.43,D,0.0
-32.929203,-60.197346,352.26,0.52,0.67,1842,N,VIIRS,n,1,301.11,8.43,D,0.0
-32.930756,-60.202877,345.15,0.52,0.67,1842,N,VIIRS,n,1,300.83,17.16,D,0.0
-32.932312,-60.208405000000006,354.01,0.52,0.66,1842,N,VIIRS,n,1,320.06,17.16,D,0.0
-32.942398,-60.164787,349.4,0.52,0.67,1842,N,VIIRS,n,1,294.75,21.95,D,0.0
-32.936367,-60.167080000000006,350.47,0.52,0.67,1842,N,VIIRS,n,1,292.9,28.75,D,0.0
-32.943985,-60.194901,339.37,0.52,0.67,1842,N,VIIRS,n,1,303.25,8.21,D,3.0
-32.928802000000005,-60.163811,339.26,0.52,0.67,1842,N,VIIRS,n,1,289.5,28.75,D,0.0
-32.936428,-60.19163100000001,342.9,0.52,0.67,1842,N,VIIRS,n,1,296.26,13.33,D,3.0
-32.937954,-60.197182,341.19,0.52,0.67,1842,N,VIIRS,n,1,303.56,8.21,D,3.0
-32.924301,-60.171677,334.15,0.52,0.67,1842,N,VIIRS,n,1,291.88,4.47,D,0.0
-32.930408,-60.193939,333.33,0.52,0.67,1842,N,VIIRS,n,1,292.36,6.94,D,0.0
-32.931934000000005,-60.199486,347.79,0.52,0.67,1842,N,VIIRS,n,1,298.91,20.02,D,0.0
-32.934978,-60.21058299999999,350.69,0.52,0.67,1842,N,VIIRS,n,1,303.18,28.57,D,0.0
-32.922859,-60.190674,330.97,0.52,0.67,1842,N,VIIRS,n,1,292.77,6.94,D,0.0
-32.924385,-60.19622,356.58,0.52,0.67,1842,N,VIIRS,n,1,303.11,6.94,D,0.0
-32.927433,-60.207325,325.76,0.52,0.67,1842,N,VIIRS,n,1,296.81,20.02,D,0.0
